artist_name,cluster,hotness,familiarity
!!!,2,0.60953899161900005,0.48213108105300001
(hed) p.e.,2,0.59072909734199996,0.32488087187800002
1. Futurologischer Congress,0,0.37476310334599999,0.25697799369199997
12 Gauge,0,0.48016159822400001,0.16074054494500001
2 Minutos,2,0.59184628747300005,0.37246297978300003
2-4 Grooves feat. Reki D.,2,0.62282999688499996,0.42694425623600002
2-Gether feat. Sarinah,2,0.53947858334900001,0.40643172698699997
2-Gether feat. Sarinah,2,0.53947858334900001,0.36588990167500002
20/20,0,0.50039600975800003,0.31488218362300002
22-20s,2,0.593240643949,0.46427750024600001
2Fresh,0,0.204725766413,0.25707591521500001
2XL,2,0.60018159916799996,0.27605012538899998
2raumwohnung,2,0.66455997860399996,0.39756959544300002
3 Doors Down,1,0.840432466617,0.64298221987699999
3 Doors Down,1,0.84043242174199995,0.60884901857100004
3 Doors Down,1,0.840432466617,0.60884901857100004
3 Steps Ahead,2,0.50052835344400004,0.40135421512300001
3 Way Funk,2,0.62908981403599995,0.26921295113600002
3 of Hearts,0,0.42189252913600001,0.23879525093500001
30 Seconds To Mars,1,0.90932483365799999,0.677087546712
32 Leaves,2,0.64688087062400002,0.40239110792900001
3OH!3,1,0.78652947564599995,0.60332456001599999
40 Grit,0,0.45197771728000002,0.33135156482200001
45 Grave,2,0.59660238456000003,0.39918628529599998
4Him,2,0.56508989220399997,0.44859380261199999
5 Blind Boys Of Alabama,2,0.62620834256400004,0.42427111444600002
50 Cent,1,0.88348707977499996,0.58864995889100002
50 Cent / Mobb Deep,1,0.88348708527999997,0.58864995889100002
5th Ward Boyz,0,0.43963443500100002,0.329543322488
6CycleMind,0,0.46410198199899999,0.326516557471
8Ball & MJG,2,0.50166261117800004,0.423580358509
99 Posse,2,0.54753840169000001,0.473544908619
9th Wonder,2,0.71101702109499998,0.43269522885900003
9th Wonder featuring Defcon_ Phonte,2,0.71101702109499998,0.43269522885900003
:Blacks On :Blondes,0,0.472428735421,0.27997795381200002
A Challenge Of Honour,2,0.50397226369699999,0.42928863041600002
A Day To Remember,1,0.83023621670400005,0.56923995373500003
A Different Breed of Killer,2,0.62301730241200004,0.35354050819999999
A Ghost Devotion,0,0.41014125843600002,0.213790663173
A Perfect Murder,2,0.60791997801300002,0.39872712296599999
A Skylit Drive,1,0.84113640601100004,0.55691056761799995
A Static Lullaby,1,0.75867871516300001,0.55756247222099997
A Tribe Called Quest,1,0.77004069451599999,0.543681106661
A Tundra,0,0.49430182429500003,0.239041138895
A-Mei,2,0.53784415633399996,0.36724376615499998
A-Studio,0,0.44015829353899999,0.36257249427799998
A.Z.,2,0.64069592070400005,0.44960265597400001
AFI,1,0.90924728346700001,0.55493852247499997
ARRESTED DEVELOPMENT,2,0.70111874441900002,0.415441655824
ATB,1,0.79069646599900001,0.50817708517799998
ATB,1,0.79069593908000002,0.50817708517799998
AUDIO.3,0,0.24573062155799999,0.21807658927199999
AZ,2,0.64069592070400005,0.44960265597400001
Aaron Watson,2,0.65801659187299999,0.47249547666500002
Abbott & Chambers,2,0.62117046950599997,0.21893641516000001
Abbott & Chambers,0,0.421234589381,0.21893641516000001
Abbott & Chambers,0,0.56121091976100002,0.21893641516000001
Aberdeen,2,0.58377326492199999,0.34327566054600001
Abijah,0,0.50442485603300002,0.30431073296400002
Abner Burnette,0,0.224193138422,0.42041261759999998
Abracadabra,0,0.44201612807200003,0.28040823901599998
Abracadabra,0,0.44201612807200003,0.30497274472399999
Abraham Laboriel,0,0.36235855858100002,0.29837272098700002
Abrar - Ul - Haq,0,0.44220054830599997,0.41366550111799999
Abysmal Dawn,2,0.64602134277000001,0.40880107251999998
Academy/Marriner,0,0.496268412868,0.34798308821500001
Ace Da Vinci,0,0.30580963133599998,0.28323027406399998
Ace Frehley,2,0.62656771267800004,0.44384773879200001
Aceyalone,1,0.75679099176700004,0.458697013253
Acorps de Rue,0,0.26308776891300001,0.42792635126200002
Adalberto Santiago,0,0.41548769439900002,0.311679480924
Adam Ant,2,0.63038233414699996,0.46598342300500001
Adam Ant,2,0.63038233414699996,0.45423115657099999
Adam Richman,2,0.60070400076499997,0.38585130439400001
Adam Richmond,0,0.16951676160099999,0.27417477953699998
Adolph Hofner,0,0.32902403967100002,0.25366003511700003
Adr Lavey,0,0.43986690449900001,0.31294750970599999
Adrenalin O.D.,2,0.51572629863200004,0.319300040304
Adrenaline,2,0.62098030512000002,0.30609359638299999
Adrienne Pierce,2,0.58243161924099995,0.40919265410599998
Aeoliah,2,0.54939561873499998,0.37940853476199998
Aerosmith,1,0.87253659867,0.61073146290400004
Aerosmith,1,0.87253659867,0.61111750343299998
Aesop Rock,1,0.83453858559000005,0.47731088106699998
African Rhythm Messengers,0,0.29768942633500001,0.32617970898199999
Africando,2,0.56304868882000003,0.348226729698
Africando All Stars,2,0.56304868882000003,0.348226729698
Afrob feat. Sarah,2,0.62238375357599995,0.36819602813699998
Aftermath,2,0.56100395019799998,0.33892034497000001
Agnes,1,0.7375404029,0.44135556204800003
Agnostic Front,1,0.70144175898200001,0.50430772598200002
Ai Ai Ai,0,0.46741142804399999,0.26198171253899999
Aiden,1,0.77349132449799995,0.50045915065900004
Aimable,0,0.38899943521699998,0.28775299340499999
Airto Moreira,2,0.557651996569,0.34823002672300002
Aisha Duo,2,0.63807337636000006,0.417967347263
Akissa,2,0.53351430146199996,0.391858828439
Akon,1,1.0,0.82677701349099997
Akon / Kardinal Offishall,1,0.48194469788299998,0.82677701349099997
Al De Lory,0,0.40782498888500002,0.26653506239300001
Al Denson,0,0.42972782885400002,0.28048218729899999
Al Dexter,0,0.40701931346300002,0.30760066407600001
Al Di Meola,2,0.64301666626200005,0.46151720449799999
Al DiMeola,2,0.64301666626200005,0.46151720449799999
Al DiMeola,2,0.64301614394100004,0.46151720449799999
Al Duvall,2,0.50278310067800003,0.37494493882300001
Al Toomer,0,0.32690703598300003,0.28245751226999999
Alacranes Musical,1,0.74489128717099995,0.449869233142
Alain Morisod,0,0.35371238575500002,0.29416188198600002
Alain Souchon,2,0.63847226796300005,0.37301167340500002
Alain-François,0,0.380317055716,0.30091842861700002
Alan Feinberg,0,0.28335289836499999,0.25181562228400001
Alan Silvestri,2,0.62930180567600003,0.45077989068699997
Alas,2,0.52918661359999997,0.35633474903200002
Albert Ayler,2,0.576645316367,0.39394581409700002
Albert Collins,2,0.62810257727300001,0.39560835031699998
Albert King,2,0.66340092738400003,0.389157892113
Alberto Cortez,0,0.50677892837600003,0.32841373787799999
Albin Myers,2,0.52856379315900004,0.34003073938799999
Alceu Valença,2,0.54497944758700001,0.36671343162600001
Ale Möller,0,0.43088238487000002,0.35445855990699998
Alejandro Lerner,2,0.55675082305500001,0.36158794153200002
Aleks Syntek,2,0.65925152067399995,0.39943154431099998
Alex,2,0.64028755688000005,0.432172564147
Alex Fong,0,0.43660484444999997,0.33806824466000002
Alex Gopher,2,0.64869228630099995,0.39336940614600002
Alex Theory,0,0.448124002912,0.31552295903200001
Alex Ubago,2,0.58147521930000001,0.29266277304400001
Alex Ubago,2,0.58147521930000001,0.29837703915699998
Alexander O'Neal,2,0.60912387481800001,0.46236783998699998
Alexander Zonjic,0,0.35442465023199998,0.38391499471399998
Alexandre Desplat,2,0.60981640344300003,0.56038080515800004
Alexis HK,2,0.62939985723799996,0.34526923491099998
Alexisonfire,1,0.83116394110900005,0.57893354031699995
Alfredo Gutiérrez,0,0.37813013436300003,0.27925575988200002
Alfredo Kraus,0,0.47738713372800001,0.36361086464699999
Alfredo Kraus - Orquesta de Conciertos de Madrid - Pablo Sorozábal,0,0.47738713372800001,0.36361086464699999
Alfredo Kraus/Paul Plishka/Matteo Manuguerra/Sherrill Milnes/Trinity Boys' Choir/Ambrosian Opera Chorus/National Philharmonic Orchestra/James Levine,0,0.47738713372800001,0.36361086464699999
Alfredo Kraus/Tatiana Troyanos/London Philharmonic Orchestra/Michel Plasson,0,0.47738713372800001,0.36361086464699999
Alias,2,0.64536795601499997,0.42302192157500002
Alice Cooper,1,0.838924310507,0.60779275146300005
Alice In Chains,1,0.79633705949900002,0.58292157645099996
Alice In Chains,1,0.819568422297,0.59786716760199998
Alice Stuart,0,0.48981626898199998,0.32855301501799999
Alicia Keys,1,0.93391610637,0.77867357918400004
Alicia Keys,1,0.93391610637,0.82164846696100002
Alkonost,2,0.53705022429600002,0.43173143122500002
All Girl Summer Fun Band,2,0.53753296749099999,0.36987010703099998
All Leather,2,0.59952918582500003,0.37929493531800001
All Shall Persih,1,0.74184857561200002,0.52356164164399999
All Time Low,1,0.84243148208100005,0.52645822346399995
Alphonse Mouzon,0,0.50391237332500005,0.33119353736899998
Alternative TV,2,0.53911156054700005,0.34913960181999998
Alturas,0,0.341768515567,0.236098820328
Alvin Youngblood Hart,2,0.52365340849399999,0.34843419690400002
Alvin Youngblood Hart,2,0.52365340849399999,0.34843419690400002
Alvino Rey And His Orchestra,0,0.36667833109199999,0.27247125591600002
Amanajé,0,0.28349873478299997,0.192324909283
Ambient Music Therapy,0,0.33531134153100001,0.35709960935399998
Amil,2,0.58329862999600002,0.35457437050899998
Amilcar,0,0.50038995919499996,0.30633156508999998
Amoral,2,0.61828473025099995,0.41427568164099998
Amorphis,1,0.709010525103,0.55356617207100001
Amy Lambert,0,0.23183750348900001,0.22428366322900001
Amy Winehouse,1,0.83559647413399996,0.59677565422800005
Amy Winehouse,1,0.89970985262900005,0.58373261308799995
An Cafe,0,0.45537185503200001,0.31386660015700002
Ana Bekuta,0,0.32669972812999998,0.30507426247399999
Ana Nikolic,2,0.53191398280699997,0.43047413787
Ana Popovic,2,0.62161692171799998,0.44845976790499997
Ancient Astronauts,2,0.553914553192,0.36481887023999998
Andrae Crouch,0,0.45240058187100002,0.40146205320700001
Andraé Crouch & Solid Gospel,0,0.45240058187100002,0.40146205320700001
Andre Popp,0,0.42036446324600002,0.33621953256100001
Andre Verchuren,0,0.36072920580200002,0.26712486735000002
Andreas Dorau,2,0.50178596827400002,0.38242658420199999
Andres Calamaro,1,0.64967789078399996,0.52736816281499999
Andrew W.K.,1,0.69853247669600005,0.50945600085300002
André Minvielle,2,0.49112399325,0.42027432990199998
André Verchuren,0,0.36072920580200002,0.26712486735000002
Andréa,2,0.57405358832099995,0.35510748694099997
Andy & Lucas,2,0.53813773991299996,0.40038775659699999
Andy Andy,2,0.57750897432500004,0.37948217027999998
